lemma,upos,lexical_class
волговерховье,PROPN,everyday
волгоград,PROPN,everyday
волейбол,NOUN,general
волжский,ADJ,everyday
волна,NOUN,general
волнение,NOUN,general
волновать,VERB,general
волноваться,VERB,general
волокно,NOUN,general
волонтёр,NOUN,general
волонтёрский,ADJ,specialized
волос,NOUN,everyday
волощан,PROPN,specialized
волшебный,ADJ,specialized
волшебство,NOUN,specialized
вольер,NOUN,general
вольера,NOUN,everyday
вольный,ADJ,everyday
вольт,NOUN,specialized
воля,NOUN,general
вон,PART,general
воображаемый,ADJ,specialized
вообще,ADV,general
вооружённый,ADJ,specialized
воплощение,NOUN,specialized
вопрос,NOUN,general
вопросительный,ADJ,everyday
воркейшн,NOUN,everyday
воробей,NOUN,everyday
ворона,NOUN,everyday
воронов,PROPN,everyday
ворота,NOUN,everyday
ворчать,VERB,specialized
восемнадцатый,ADJ,specialized
восемнадцать,NUM,general
восемь,NUM,general
восемьдесят,NUM,general
воскресенье,NOUN,everyday
воскреснуть,VERB,everyday
воспитание,NOUN,general
воспитатель,NOUN,everyday
восполнять,VERB,specialized
воспоминание,NOUN,general
воспринимать,VERB,general
восприятие,NOUN,general
воспроизвести,VERB,general
воссоздавать,VERB,everyday
восстанавливать,VERB,specialized
восстановить,VERB,general
восстановление,NOUN,general
восток,NOUN,general
восток,PROPN,general
восторг,NOUN,everyday
восточнославянский,ADJ,specialized
восточнохристианский,ADJ,specialized
восточный,ADJ,general
востребованный,ADJ,general
восход,NOUN,specialized
восходить,VERB,specialized
восхождение,NOUN,everyday
восьмой,ADJ,general
вот,PART,general
вот-вот,ADV,everyday
впадать,VERB,everyday
впасть,VERB,everyday
впервые,ADV,general
впереди,ADP,general
впереди,ADV,everyday
вперёд,ADV,general
впечатление,NOUN,general
впитывать,VERB,everyday
вполне,ADV,general
впоследствии,ADV,general
вправе,ADV,general
впрочем,ADV,everyday
впустую,ADV,general
враждовать,VERB,everyday
вратарь,NOUN,everyday
врач,NOUN,general
вращаться,VERB,general
вращение,NOUN,specialized
вред,NOUN,general
вредитель,NOUN,general
вредный,ADJ,general
врезаться,VERB,everyday
временно,ADV,general
временный,ADJ,everyday
время,NOUN,general
вроде,ADP,general
вроде,ADV,general
врождённый,ADJ,specialized
вряд,ADV,general
все,PART,general
все,PRON,general
все-таки,PART,general
всегда,ADV,general
всего,PART,general
всемирный,ADJ,general
всенародный,ADJ,general
всерьёз,ADV,general
вскоре,ADV,everyday
вскрикнуть,VERB,specialized
вскрывать,VERB,general
вскрытие,NOUN,everyday
вслед,ADV,general
вслух,ADV,general
вспахивать,VERB,general
вспенить,VERB,general
всплывать,VERB,general
вспоминать,VERB,general
вспомогательный,ADJ,general
вспомянуть,VERB,everyday
вспотеть,VERB,everyday
вспышка,NOUN,general
вставать,VERB,everyday
вставить,VERB,general
встать,VERB,everyday
встраивать,VERB,general
встретить,VERB,everyday
встретиться,VERB,everyday
встреча,NOUN,general
встречать,VERB,general
встречаться,VERB,general
встроить,VERB,general
вступать,VERB,specialized
вступить,VERB,general
вступление,NOUN,general
всякий,DET,general
втискиваться,VERB,everyday
втиснуть,VERB,everyday
вторжение,NOUN,general
вторичный,ADJ,everyday
вторник,NOUN,general
второй,ADJ,general
второстепенный,ADJ,specialized
втроём,ADV,everyday
втянуться,VERB,general
вуз,NOUN,general
вулкан,NOUN,everyday
вулканически,ADV,general
вулканический,ADJ,everyday
вход,NOUN,everyday
входить,VERB,everyday
входной,ADJ,everyday
вчера,ADV,everyday
вчерашний,ADJ,general
вчетвером,ADV,everyday
въезд,NOUN,general
въехать,VERB,everyday
вы,PRON,general
выбегать,VERB,everyday
выбежать,VERB,everyday
выбирать,VERB,general
выбираться,VERB,everyday
выбить,VERB,everyday
выбор,NOUN,general
выборы,NOUN,general
выбрасывать,VERB,general
выбрать,VERB,general
выбраться,VERB,general
выброс,NOUN,general
выбросить,VERB,everyday
выверить,VERB,general
вывеска,NOUN,specialized
вывести,VERB,general
